STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS
Punjab,LUDHIANA,SIMARJEET SINGH BAINS,0,LIP,Letter Box,MALE,8.0,48.0,GENERAL,Graduate,,,306786,637,307423,18.26284289,29.36157207,1683325
Punjab,LUDHIANA,MAHESHINDER SINGH GREWAL,0,SAD,Scales,MALE,0.0,69.0,GENERAL,Graduate Professional,,,298963,472,299435,17.78830588,28.59864855,1683325
Punjab,LUDHIANA,PROF. TEJ PAL SINGH GILL,0,AAP,Broom,MALE,0.0,32.0,GENERAL,Doctorate,,,15794,151,15945,0.947232412,1.522886273,1683325
Uttar Pradesh,MACHHLISHAHR,Bholanath (B.P. Saroj),1,BJP,Lotus,MALE,0.0,58.0,SC,Graduate,,,487093,1304,488397,26.42403368,47.16943047,1848306
Uttar Pradesh,MACHHLISHAHR,Tribhuvan Ram (T.Ram),0,BSP,Elephant,MALE,1.0,70.0,SC,Graduate,,,486763,1453,488216,26.41424093,47.15194947,1848306
Uttar Pradesh,MACHHLISHAHR,Raj Nath,0,SBSP,Walking Stick,MALE,0.0,70.0,SC,Post Graduate,,,11212,11,11223,0.607204651,1.083918448,1848306
Andhra Pradesh,MACHILIPATNAM,BALASHOWRY VALLABHANENI,1,YSRCP,Ceiling Fan,MALE,2.0,50.0,GENERAL,Post Graduate,,,567592,5258,572850,38.88086106,45.99165671,1473347
Andhra Pradesh,MACHILIPATNAM,KONAKALLA NARAYANA RAO,0,TDP,Bicycle,MALE,0.0,68.0,GENERAL,12th Pass,,,509887,2725,512612,34.79234695,41.1554074,1473347
Andhra Pradesh,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,0,JnP,Glass Tumbler,MALE,0.0,44.0,GENERAL,Post Graduate,,,112566,876,113442,7.699611836,9.107769086,1473347
Maharashtra,MADHA,Ranjeetsinha Hindurao Naik- Nimbalkar,1,BJP,Lotus,MALE,2.0,42.0,GENERAL,12th Pass,,,583191,3123,586314,30.70391616,48.14443478,1909574
Maharashtra,MADHA,Sanjaymama Vitthalrao Shinde,0,NCP,Clock,MALE,1.0,50.0,GENERAL,Graduate,,,498441,2109,500550,26.21265266,41.10203207,1909574
Maharashtra,MADHA,Adv. Vijayrao More,0,VBA,Key,MALE,1.0,78.0,GENERAL,Graduate Professional,,,51349,183,51532,2.698612361,4.231485199,1909574
Maharashtra,MADHA,Daulat Umaji Shitole,0,IND,Tent,MALE,0.0,43.0,GENERAL,Literate,,,12859,10,12869,0.673919942,1.056721708,1909574
Bihar,MADHEPURA,Dinesh Chandra Yadav,1,JD(U),Arrow,MALE,1.0,67.0,GENERAL,Graduate Professional,,,623460,874,624334,33.12322303,54.40098566,1884883
Bihar,MADHEPURA,Sharad Yadav,0,RJD,Hurricane Lamp,MALE,3.0,71.0,GENERAL,Graduate Professional,,,322410,397,322807,17.12610279,28.12760314,1884883
Bihar,MADHEPURA,Rajesh Ranjan @ Pappu Yadav,0,JAPL,HOCKEY & BALL,MALE,31.0,51.0,GENERAL,Graduate,,,97466,165,97631,5.179684893,8.507021292,1884883
Bihar,MADHEPURA,Suman Kumar Jha,0,IND,COCONUT FARM,MALE,0.0,57.0,GENERAL,Post Graduate,,,17573,11,17584,0.9328961,1.532171773,1884883
Bihar,MADHUBANI,ASHOK KUMAR YADAV,1,BJP,Lotus,MALE,1.0,49.0,GENERAL,Doctorate,,,594811,1032,595843,33.23536729,61.76420588,1792798
Bihar,MADHUBANI,BADRI KUMAR PURBEY,0,VSIP,Boat with Man and Sail,MALE,,46.0,GENERAL,Not Available,,,140705,198,140903,7.85939074,14.605797,1792798
Bihar,MADHUBANI,DR. SHAKEEL AHMAD,0,IND,Helicopter,MALE,1.0,63.0,GENERAL,Graduate Professional,,,131416,114,131530,7.336576681,13.63420565,1792798
Bihar,MADHUBANI,HEMA JHA,0,IND,Bat,FEMALE,0.0,57.0,GENERAL,10th Pass,,,14254,0,14254,0.795070053,1.4775486,1792798
Bihar,MADHUBANI,ABUBAKAR RAHMANI,0,IND,Almirah,MALE,0.0,30.0,GENERAL,Post Graduate,,,12491,1,12492,0.696787926,1.294902281,1792798
Bihar,MADHUBANI,ANAND KUMAR JHA,0,AKBMP,DIAMOND,MALE,0.0,39.0,GENERAL,Post Graduate,,,10109,18,10127,0.564871224,1.049749872,1792798
Tamil Nadu,MADURAI,VENKATESAN S,1,CPI(M),"Hammer, Sickle and Star",MALE,0.0,49.0,GENERAL,12th Pass,,,444152,2923,447075,29.04921684,43.95490413,1539026
Tamil Nadu,MADURAI,RAJ SATYEN V.V.R,0,AIADMK,Two Leaves,MALE,0.0,36.0,GENERAL,Post Graduate,,,307033,647,307680,19.99186498,30.2500585,1539026
Tamil Nadu,MADURAI,DAVID ANNADURAI K,0,IND,Gift Pack,MALE,3.0,42.0,GENERAL,Graduate Professional,,,85318,429,85747,5.571510813,8.430355454,1539026
Tamil Nadu,MADURAI,ALAGAR M,0,MNM,Battery Torch,MALE,0.0,52.0,GENERAL,Graduate Professional,,,84842,206,85048,5.526092477,8.361632135,1539026
Tamil Nadu,MADURAI,PANDIAMMAL J,0,NTK,Ganna Kisan,FEMALE,0.0,38.0,GENERAL,Post Graduate,,,42721,180,42901,2.787542251,4.217881434,1539026
Telangana,MAHABUBABAD,Kavitha Malothu,1,TRS,Car,FEMALE,1.0,39.0,ST,Graduate,,,461824,285,462109,32.44270334,46.97628461,1424385
Telangana,MAHABUBABAD,Balaram Naik Porika,0,INC,Hand,MALE,1.0,55.0,ST,10th Pass,,,315262,184,315446,22.1461192,32.06706875,1424385
Telangana,MAHABUBABAD,Arun Kumar Mypathi,0,TJS,BOX,MALE,1.0,33.0,ST,Post Graduate,,,56969,104,57073,4.00685208,5.801829203,1424385
Telangana,MAHABUBABAD,Kalluri. Venkateswara Rao.,0,CPI(M),Ears of Corn And Sickle,MALE,0.0,45.0,ST,10th Pass,,,45694,25,45719,3.209736132,4.647623733,1424385
Telangana,MAHABUBABAD,Jatothu Hussain,0,BJP,Lotus,MALE,0.0,37.0,ST,Graduate,,,25333,154,25487,1.789333642,2.590913758,1424385
Telangana,MAHABUBABAD,Balu Nayak Bhukya,0,IND,Camera,MALE,0.0,38.0,ST,Post Graduate,,,14865,1,14866,1.0436785,1.511222346,1424385
Telangana,MAHABUBABAD,Uke Kousalya,0,IND,Scissors,FEMALE,0.0,49.0,ST,5th Pass,,,11054,4,11058,0.77633505,1.124115209,1424385
Uttar Pradesh,MAHARAJGANJ,PANKAJ CHOUDHARY,1,BJP,Lotus,MALE,5.0,54.0,GENERAL,12th Pass,,,725557,792,726349,37.92137237,59.18634251,1915408
Bihar,MAHARAJGANJ,"Janardan Singh 'Sigriwal""",1,BJP,Lotus,MALE,5.0,55.0,GENERAL,Graduate,,,543523,2829,546352,30.22246217,56.1519195,1807768
Bihar,MAHARAJGANJ,Randhir Kumar Singh,0,RJD,Hurricane Lamp,MALE,3.0,36.0,GENERAL,12th Pass,,,314803,777,315580,17.45688606,32.43407685,1807768
Uttar Pradesh,MAHARAJGANJ,AKHILESH,0,SP,Bicycle,MALE,4.0,55.0,GENERAL,Graduate,,,385592,333,385925,20.14844879,31.4469893,1915408
